Parsing predictions in file zero_shot/relevant/relevant_Llama-3.1-8B-Instruct_06-09-06.csv for task Relevant
Parsing predictions in file zero_shot/relevant/relevant_Llama-2-13b-chat-hf_27-09-27.csv for task Relevant
	Error parsing prediction for row with id 159 : list index out of range
	Error parsing prediction for row with id 215 : "Sure, I'd be happy to help! Based on the title and abstract you provided, I would classify this study as irrelevant. Here's my reasoning"
	Error parsing prediction for row with id 1729 : "Sure, I'd be happy to help! Based on the title and abstract you provided, I would classify this study as relevant. Here's my reasoning"
	Error parsing prediction for row with id 6062 : Expecting value: line 3 column 12 (char 31)
	Error parsing prediction for row with id 3532 : 'Sure, I can help you with that! Based on the title and abstract you provided, I would classify this study as irrelevant for the following reasons'
	Error parsing prediction for row with id 6106 : list index out of range
	Error parsing prediction for row with id 5968 : Could not parse prediction: Based on the title and abstract of the research paper, the study is relevant to the task. The study investigates the use of esketamine nasal spray in adults with severe major depressive disorder, which is a relevant topic for the task. The study also reports on the use of psychedelic substances in humans
	Error parsing prediction for row with id 7664 : Could not parse prediction: Sure, I'd be happy to help! Based on the title and abstract of the research paper you provided, I would classify it as irrelevant. The study does not investigate the use of psychedelic substances in humans, and instead focuses on the effects of ayahuasca on zebrafish behavior. Therefore, it does
	Error parsing prediction for row with id 3893 : "Sure, I'd be happy to help! Based on the information provided, the study you've described does not meet the criteria for relevance. Here's why"
	Error parsing prediction for row with id 149 : 'Based on the provided input, I would classify this study as "relevant" for the following reasons'
	Error parsing prediction for row with id 6360 : Could not parse prediction: Sure, I'd be happy to help! Based on the title and abstract of the research paper you provided, I would classify it as irrelevant for the task of classifying studies on the use of psychedelic substances in humans. The study does not investigate the use of psychedelic substances in humans, but rather the ant
	Error parsing prediction for row with id 5157 : "Sure, I'd be happy to help! Based on the title and abstract you provided, I would classify this study as irrelevant for the following reasons"
	Error parsing prediction for row with id 4430 : Could not parse prediction: Sure, I'd be happy to help! Based on the title and abstract of the research paper you provided, I would classify it as irrelevant for the task of classifying studies on the use of psychedelic substances in humans. The study does not investigate the use of psychedelic substances in humans, but rather examines
	Error parsing prediction for row with id 9233 : Could not parse prediction: Sure, I'd be happy to help! Based on the title and abstract you provided, I would classify this study as irrelevant. The study is a corrigendum, which means it reports an error or inaccuracy in a previous study, and does not contain any information about the use of psychedelic substances in humans.
